season,round,race_date,race_name,track_name,driver_name,driver_id,odds_american,odds_decimal,implied_probability,sportsbook,odds_as_of,source_url,market_role,safe_as_model_feature
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,Todd Gilliland,todd_gilliland,2500,26,0.038461538461538464,DraftKings,2026-07-23,,production_pre_race_complete_top5_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,Austin Hill,austin_hill,2500,26,0.038461538461538464,DraftKings,2026-07-23,,production_pre_race_complete_top5_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,Austin Dillon,austin_dillon,2500,26,0.038461538461538464,DraftKings,2026-07-23,,production_pre_race_complete_top5_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,Noah Gragson,noah_gragson,3000,31,0.03225806451612903,DraftKings,2026-07-23,,production_pre_race_complete_top5_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,Ricky Stenhouse Jr.,ricky_stenhouse_jr,3500,36,0.027777777777777776,DraftKings,2026-07-23,,production_pre_race_complete_top5_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,Cole Custer,cole_custer,5000,51,0.0196078431372549,DraftKings,2026-07-23,,production_pre_race_complete_top5_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,Cody Ware,cody_ware,5000,51,0.0196078431372549,DraftKings,2026-07-23,,production_pre_race_complete_top5_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,Ty Dillon,ty_dillon,5000,51,0.0196078431372549,DraftKings,2026-07-23,,production_pre_race_complete_top5_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,Daniel Dye,daniel_dye,6000,61,0.01639344262295082,DraftKings,2026-07-23,,production_pre_race_complete_top5_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,Casey Mears,casey_mears,6000,61,0.01639344262295082,DraftKings,2026-07-23,,production_pre_race_complete_top5_board,TRUE
