projection_variant,lineup_rank,driver_slot,scenario_name,scenario_role,lineup_archetype,scenario_type,scenario_probability,driver_id,driver_name,dk_id,salary,dk_projection,dk_mean_projection,dk_score_p75,dk_score_p90,dk_value_per_1000,dk_mean_value_per_1000,dk_starting_position_used,dk_projected_finish_rank,mean_projected_laps_led,mean_projected_fastest_laps,projected_laps_led,projected_fastest_laps,prob_lead_25_plus,prob_lead_50_plus,prob_lead_75_plus,prob_lead_100_plus,prob_lead_150_plus,prob_lead_200_plus,dominator_role,construction_role,lineup_role,punt_role
base,6,4,split_primary_pair,Split dominators,conventional_split_control,split_control,0.3486238532110092,erik_jones,Erik Jones,43667070,7300,32.04778009181757,32.680230950574796,32.24921820843062,33.118204396590826,4.390106861892818,4.4767439658321635,16,14,1.7891306437692502,2.739885088072182,0.9975617373837048,1.7741992388258718,0,0,0,0,0,0,Supporting scorer,Finishing-position scorer,Finishing-position scorer,Not a punt
base,6,5,split_primary_pair,Split dominators,conventional_split_control,split_control,0.3486238532110092,kyle_larson,Kyle Larson,43667055,10500,66.67057244133491,50.2751126764394,66.67057244133491,66.67057244133491,6.3495783277461815,4.788105969184705,6,4,13.704411500471982,10.775577336269784,40,32.60127209185535,0.44763967373683644,0.099015820525827275,0.099015820525827275,0,0,0,Primary dominator B,Dominator candidate,Secondary dominator,Not a punt
base,6,6,split_primary_pair,Split dominators,conventional_split_control,split_control,0.3486238532110092,zane_smith,Zane Smith,43667080,6000,19.834051657842846,20.345764325318655,19.987943502928047,20.81704083792098,3.305675276307141,3.3909607208864423,25,24,1.6622630696489018,2.0671079064587343,0.9268244560689516,1.3385456529457955,0,0,0,0,0,0,Supporting scorer,Value place differential,Value place differential,Not a punt
base,7,1,primary_denny_hamlin,Primary dominator A,conventional_primary_control,primary_control,0.12101287254518049,alex_bowman,Alex Bowman,43667072,7000,26.387367487982477,26.944985899655943,26.387367487982477,27.333434117696925,3.7696239268546394,3.8492836999508495,20,19,3.1385536760318016,2.5785499569955377,1.8269705122741482,2.0680552442532,0.01405698108606338,0.01405698108606338,0.01405698108606338,0,0,0,Contrarian dominator ceiling,Mid-tier place differential,Mid-tier place differential,Not a punt
base,7,2,primary_denny_hamlin,Primary dominator A,conventional_primary_control,primary_control,0.12101287254518049,brad_keselowski,Brad Keselowski,43667068,7700,38.42588003837114,39.32436950096799,38.42588003837114,39.408618327990574,4.990374030957291,5.107060974151687,23,15,4.371460900083042,4.9588983909938396,2.544653042260157,3.977148395124661,0.024500038828520174,0.024500038828520174,0.024500038828520174,0,0,0,Contrarian dominator ceiling,Mid-tier place differential,Mid-tier place differential,Not a punt
base,7,3,primary_denny_hamlin,Primary dominator A,conventional_primary_control,primary_control,0.12101287254518049,chase_elliott,Chase Elliott,43667059,9500,44.92769402301398,46.20403503463374,44.92769402301398,45.90241770442171,4.729230949790946,4.8635826352246045,10,6,8.076456946788753,4.8553795509701105,4.701352982463773,3.8941239497733977,0,0,0,0,0,0,Supporting scorer,Finishing-position scorer,Finishing-position scorer,Not a punt
base,7,4,primary_denny_hamlin,Primary dominator A,conventional_primary_control,primary_control,0.12101287254518049,denny_hamlin,Denny Hamlin,43667053,11000,83.23483146067416,56.546658848669026,73.67110504697149,83.23483146067416,7.566802860061287,5.140605349879002,1,1,17.16332377450544,16.12406201120593,76.85393258426967,42.26966292134832,0.4696367257561897,0.12101287254518049,0.12101287254518049,0,0,0,Primary dominator A,Dominator candidate,Dominator,Not a punt
base,7,5,primary_denny_hamlin,Primary dominator A,conventional_primary_control,primary_control,0.12101287254518049,erik_jones,Erik Jones,43667070,7300,32.24921820843062,32.680230950574796,32.24921820843062,33.118204396590826,4.417701124442551,4.4767439658321635,16,14,1.7891306437692502,2.739885088072182,1.0414634465978665,2.1974496595136643,0,0,0,0,0,0,Supporting scorer,Finishing-position scorer,Finishing-position scorer,Not a punt
base,7,6,primary_denny_hamlin,Primary dominator A,conventional_primary_control,primary_control,0.12101287254518049,ross_chastain,Ross Chastain,43667071,7100,26.307195151948044,26.82466195316335,26.307195151948044,27.236371597805345,3.705238753795499,3.7781214018539933,18,18,2.841528770077348,2.476177245875583,1.6540705715358748,1.9859500201423894,0,0,0,0,0,0,Supporting scorer,Finishing-position scorer,Finishing-position scorer,Not a punt
base,8,1,primary_kyle_larson,Primary dominator B,conventional_primary_control,primary_control,0.099015820525827275,brad_keselowski,Brad Keselowski,43667068,7700,38.34117793122018,39.32436950096799,38.42588003837114,39.408618327990574,4.979373757301323,5.107060974151687,23,15,4.371460900083042,4.9588983909938396,2.4844890159125095,3.822345949426786,0.024500038828520174,0.024500038828520174,0.024500038828520174,0,0,0,Contrarian dominator ceiling,Mid-tier place differential,Mid-tier place differential,Not a punt
base,8,2,primary_kyle_larson,Primary dominator B,conventional_primary_control,primary_control,0.099015820525827275,bubba_wallace,Bubba Wallace,43667061,9000,40.13343837511004,41.05787504001174,40.20962093138612,41.20513817997385,4.459270930567782,4.561986115556859,14,10,4.417378951034951,4.3411784494511165,2.5105862167864696,3.34620404647427,0,0,0,0,0,0,Supporting scorer,Finishing-position scorer,Finishing-position scorer,Not a punt
base,8,3,primary_kyle_larson,Primary dominator B,conventional_primary_control,primary_control,0.099015820525827275,erik_jones,Erik Jones,43667070,7300,32.20457322236369,32.680230950574796,32.24921820843062,33.118204396590826,4.411585372926533,4.4767439658321635,16,14,1.7891306437692502,2.739885088072182,1.0168398011732733,2.111918382378601,0,0,0,0,0,0,Supporting scorer,Finishing-position scorer,Finishing-position scorer,Not a punt
base,8,4,primary_kyle_larson,Primary dominator B,conventional_primary_control,primary_control,0.099015820525827275,kyle_larson,Kyle Larson,43667055,10500,80.23483146067416,50.2751126764394,66.67057244133491,66.67057244133491,7.641412520064206,4.788105969184705,6,4,13.704411500471982,10.775577336269784,76.85393258426967,42.26966292134832,0.44763967373683644,0.099015820525827275,0.099015820525827275,0,0,0,Primary dominator B,Dominator candidate,Dominator,Not a punt
