season,round,event_id,race_id,driver_id,model,race_name,race_date,track_id,track_name,track_primary_family,track_cluster_id,driver_name,car_number,owner_id,owner_name,manufacturer_id,manufacturer,field_size,target_finish_position,target_win,target_top3,predicted_finish_position,predicted_finish_rank,finish_route,win_probability,top3_probability,predicted_win_rank,predicted_top3_rank,probability_route,target_points,predicted_points,predicted_points_rank,points_route
2025,1,cup_2025_r01,5546,zane_smith,xgb_drafting_specialist,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Zane Smith,38,front_row_motorsports,Front Row Motorsports,ford,Ford,41,36,0,0,17.094203004141235,35,drafting_superspeedway,0.00727820257131969,0.00422492743091141,22,39,drafting_superspeedway,1,16.1473331451416,31,drafting_superspeedway
2025,1,cup_2025_r01,5546,noah_gragson,xgb_drafting_specialist,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Noah Gragson,4,front_row_motorsports,Front Row Motorsports,ford,Ford,41,28,0,0,17.152666681716944,36,drafting_superspeedway,0.00213883305447017,0.04705717469603195,39,15,drafting_superspeedway,9,16.45500946044922,30,drafting_superspeedway
2025,1,cup_2025_r01,5546,jimmie_johnson,xgb_drafting_specialist,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Jimmie Johnson,84,legacy_motor_club,Legacy Motor Club,toyota,Toyota,41,3,0,1,17.687429533649787,37,drafting_superspeedway,9.610525332867606e-4,0.02919778697293,41,22,drafting_superspeedway,34,17.755788803100586,27,drafting_superspeedway
2025,1,cup_2025_r01,5546,riley_herbst,xgb_drafting_specialist,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Riley Herbst,35,23xi_racing,23XI Racing,toyota,Toyota,41,17,0,0,17.768315305179293,38,drafting_superspeedway,0.02078824382082364,0.11485649623209115,10,8,drafting_superspeedway,20,9.14979362487793,39,drafting_superspeedway
2025,1,cup_2025_r01,5546,josh_berry,xgb_drafting_specialist,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Josh Berry,21,wood_brothers_racing,Wood Brothers Racing,ford,Ford,41,37,0,0,18.083102501517512,39,drafting_superspeedway,0.00415444992373346,0.00932163625951365,33,32,drafting_superspeedway,1,13.588536262512209,35,drafting_superspeedway
2025,1,cup_2025_r01,5546,helio_castroneves,xgb_drafting_specialist,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Helio Castroneves,91,trackhouse_racing,Trackhouse Racing,chevrolet,Chevrolet,41,39,0,0,18.13676231602984,40,drafting_superspeedway,0.00236432870966456,0.01692367357328121,37,30,drafting_superspeedway,0,9.581952095031738,38,drafting_superspeedway
2025,1,cup_2025_r01,5546,justin_allgaier,xgb_drafting_specialist,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Justin Allgaier,40,jr_motorsports,JR Motorsports,chevrolet,Chevrolet,41,9,0,0,19.1243180747182,41,drafting_superspeedway,0.05475419782155345,0.01734094029896095,6,29,drafting_superspeedway,0,13.534549713134766,36,drafting_superspeedway
2025,2,cup_2025_r02,5547,william_byron,xgb_drafting_specialist,Ambetter Health 400,2025-02-23,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,William Byron,24,hendrick_motorsports,Hendrick Motorsports,chevrolet,Chevrolet,39,27,0,0,8.109996996790265,1,drafting_superspeedway,0.1047076512038801,0.1726731118856243,3,7,drafting_superspeedway,25,31.55331802368164,1,drafting_superspeedway
2025,2,cup_2025_r02,5547,joey_logano,xgb_drafting_specialist,Ambetter Health 400,2025-02-23,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,Joey Logano,22,team_penske,Team Penske,ford,Ford,39,12,0,0,11.141156897654117,2,drafting_superspeedway,0.14791337386185394,0.22434144645190648,1,3,drafting_superspeedway,34,29.658071517944336,3,drafting_superspeedway
2025,2,cup_2025_r02,5547,ryan_blaney,xgb_drafting_specialist,Ambetter Health 400,2025-02-23,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,Ryan Blaney,12,team_penske,Team Penske,ford,Ford,39,4,0,0,11.149890888410011,3,drafting_superspeedway,0.03485905992981857,0.22343426901598945,10,4,drafting_superspeedway,36,30.775230407714844,2,drafting_superspeedway
2025,2,cup_2025_r02,5547,chase_elliott,xgb_drafting_specialist,Ambetter Health 400,2025-02-23,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,Chase Elliott,9,hendrick_motorsports,Hendrick Motorsports,chevrolet,Chevrolet,39,20,0,0,11.4238401275817,4,drafting_superspeedway,0.0667594859384605,0.4307284734498374,4,1,drafting_superspeedway,23,28.305997848510746,4,drafting_superspeedway
2025,2,cup_2025_r02,5547,kyle_larson,xgb_drafting_specialist,Ambetter Health 400,2025-02-23,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,Kyle Larson,5,hendrick_motorsports,Hendrick Motorsports,chevrolet,Chevrolet,39,3,0,1,11.75910026452687,5,drafting_superspeedway,0.02116257737657258,0.04848436375802033,13,16,drafting_superspeedway,44,27.30396842956543,6,drafting_superspeedway
2025,2,cup_2025_r02,5547,tyler_reddick,xgb_drafting_specialist,Ambetter Health 400,2025-02-23,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,Tyler Reddick,45,23xi_racing,23XI Racing,toyota,Toyota,39,19,0,0,12.292248148407856,6,drafting_superspeedway,0.1280666780382792,0.20608990695934584,2,5,drafting_superspeedway,28,25.809812545776367,7,drafting_superspeedway
2025,2,cup_2025_r02,5547,bubba_wallace,xgb_drafting_specialist,Ambetter Health 400,2025-02-23,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,Bubba Wallace,23,23xi_racing,23XI Racing,toyota,Toyota,39,9,0,0,12.495210404277469,7,drafting_superspeedway,0.00356120860786437,0.04651454595571994,34,17,drafting_superspeedway,44,20.792421340942383,15,drafting_superspeedway
2025,2,cup_2025_r02,5547,brad_keselowski,xgb_drafting_specialist,Ambetter Health 400,2025-02-23,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,Brad Keselowski,6,rfk_racing,RFK Racing,ford,Ford,39,39,0,0,12.593074057983056,8,drafting_superspeedway,0.04936078930604762,0.15578680584931384,5,8,drafting_superspeedway,1,23.59210968017578,10,drafting_superspeedway
2025,2,cup_2025_r02,5547,alex_bowman,xgb_drafting_specialist,Ambetter Health 400,2025-02-23,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,Alex Bowman,48,hendrick_motorsports,Hendrick Motorsports,chevrolet,Chevrolet,39,26,0,0,12.694767220285756,9,drafting_superspeedway,0.02887578429415674,0.15236137855945087,12,9,drafting_superspeedway,17,24.20475959777832,9,drafting_superspeedway
2025,2,cup_2025_r02,5547,christopher_bell,xgb_drafting_specialist,Ambetter Health 400,2025-02-23,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,Christopher Bell,20,joe_gibbs_racing,Joe Gibbs Racing,toyota,Toyota,39,1,1,1,12.863342121377924,10,drafting_superspeedway,0.04511310196774477,0.02431645986908032,6,22,drafting_superspeedway,40,25.071918487548828,8,drafting_superspeedway
2025,2,cup_2025_r02,5547,erik_jones,xgb_drafting_specialist,Ambetter Health 400,2025-02-23,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,Erik Jones,43,legacy_motor_club,Legacy Motor Club,toyota,Toyota,39,31,0,0,13.070071379688274,11,drafting_superspeedway,0.01836646386672321,0.06282377023356481,15,15,drafting_superspeedway,6,18.750402450561523,23,drafting_superspeedway
2025,2,cup_2025_r02,5547,chris_buescher,xgb_drafting_specialist,Ambetter Health 400,2025-02-23,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,Chris Buescher,17,rfk_racing,RFK Racing,ford,Ford,39,30,0,0,13.23072038734331,12,drafting_superspeedway,0.00514469455226214,0.09794045060471178,29,11,drafting_superspeedway,7,21.430938720703125,13,drafting_superspeedway
2025,2,cup_2025_r02,5547,denny_hamlin,xgb_drafting_specialist,Ambetter Health 400,2025-02-23,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,Denny Hamlin,11,joe_gibbs_racing,Joe Gibbs Racing,toyota,Toyota,39,6,0,0,13.389860682646752,13,drafting_superspeedway,0.00396449413886279,0.01649917349011432,33,28,drafting_superspeedway,31,23.066118240356445,11,drafting_superspeedway
2025,2,cup_2025_r02,5547,ross_chastain,xgb_drafting_specialist,Ambetter Health 400,2025-02-23,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,Ross Chastain,1,trackhouse_racing,Trackhouse Racing,chevrolet,Chevrolet,39,8,0,0,13.435125811164331,14,drafting_superspeedway,0.00243945056481632,0.06398185980647078,37,14,drafting_superspeedway,29,19.46472930908203,20,drafting_superspeedway
2025,2,cup_2025_r02,5547,ricky_stenhouse_jr,xgb_drafting_specialist,Ambetter Health 400,2025-02-23,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,Ricky Stenhouse Jr.,47,hyak_motorsports,Hyak Motorsports,chevrolet,Chevrolet,39,5,0,0,13.47018866986785,15,drafting_superspeedway,0.04060456831135521,0.02009027872645203,9,25,drafting_superspeedway,35,19.442317962646484,21,drafting_superspeedway
2025,2,cup_2025_r02,5547,kyle_busch,xgb_drafting_specialist,Ambetter Health 400,2025-02-23,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,Kyle Busch,8,richard_childress_racing,Richard Childress Racing,chevrolet,Chevrolet,39,7,0,0,13.611531145790986,16,drafting_superspeedway,0.00758742694698196,0.17968643732494846,25,6,drafting_superspeedway,30,19.629899978637695,19,drafting_superspeedway
2025,2,cup_2025_r02,5547,daniel_suarez,xgb_drafting_specialist,Ambetter Health 400,2025-02-23,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,Daniel Suarez,99,trackhouse_racing,Trackhouse Racing,chevrolet,Chevrolet,39,33,0,0,13.916407687883382,17,drafting_superspeedway,0.01298424890516956,0.11869128017061584,19,10,drafting_superspeedway,4,22.07742500305176,12,drafting_superspeedway
2025,2,cup_2025_r02,5547,justin_haley,xgb_drafting_specialist,Ambetter Health 400,2025-02-23,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,Justin Haley,7,spire_motorsports,Spire Motorsports,chevrolet,Chevrolet,39,24,0,0,14.11401726188824,18,drafting_superspeedway,0.04492023634565988,0.04057847453557414,7,19,drafting_superspeedway,13,18.79174041748047,22,drafting_superspeedway
2025,2,cup_2025_r02,5547,austin_cindric,xgb_drafting_specialist,Ambetter Health 400,2025-02-23,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,Austin Cindric,2,team_penske,Team Penske,ford,Ford,39,28,0,0,14.30962445966674,19,drafting_superspeedway,0.00434566153757368,0.2925887237258399,30,2,drafting_superspeedway,20,28.01370620727539,5,drafting_superspeedway
2025,2,cup_2025_r02,5547,michael_mcdowell,xgb_drafting_specialist,Ambetter Health 400,2025-02-23,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,Michael McDowell,71,spire_motorsports,Spire Motorsports,chevrolet,Chevrolet,39,13,0,0,14.489336539013037,20,drafting_superspeedway,0.01205579031864155,0.00895942634947443,20,32,drafting_superspeedway,24,21.214292526245117,14,drafting_superspeedway
2025,2,cup_2025_r02,5547,ty_dillon,xgb_drafting_specialist,Ambetter Health 400,2025-02-23,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,Ty Dillon,10,kaulig_racing,Kaulig Racing,chevrolet,Chevrolet,39,29,0,0,15.146227784759557,21,drafting_superspeedway,0.00703903006134778,0.02912492721783212,27,21,drafting_superspeedway,8,11.075949668884276,36,drafting_superspeedway
