season,round,race_name,track_name,track_primary_family,track_cluster_id,driver_id,driver_name,owner_name,manufacturer,target_qualifying_position,predicted_qualifying_rank,predicted_position_score,training_races,target_finish_position,predicted_finish_position,predicted_finish_rank,finish_route,target_win,target_top3,win_probability,top3_probability,predicted_win_rank,predicted_top3_rank,probability_route,target_points,predicted_points,predicted_points_rank,actual_points_rank,points_route
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,joey_logano,Joey Logano,Team Penske,Ford,4,2,11.24742913046609,253,12,12.093961064378233,4,drafting_superspeedway,0,0,0.13995872832338413,0.227161394013092,1,3,drafting_superspeedway,34,27.18128860433109,4,7,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,john_hunter_nemechek,John Hunter Nemechek,Legacy Motor Club,Toyota,22,32,26.397523461594027,253,10,18.41547710784472,28,drafting_superspeedway,0,0,0.00419024869901657,0.02027095479841198,34,32,drafting_superspeedway,27,16.753688290705497,27,12,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,josh_berry,Josh Berry,Wood Brothers Racing,Ford,3,27,24.257690631014707,253,25,19.55437827295719,35,drafting_superspeedway,0,0,0.01695622817150763,0.03619462615187256,14,26,drafting_superspeedway,22,16.39917872066855,30,19,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,justin_haley,Justin Haley,Spire Motorsports,Chevrolet,21,33,27.51798540312229,253,24,18.384383218841354,27,drafting_superspeedway,0,0,0.00777147049903773,0.0210667581824093,28,31,drafting_superspeedway,13,17.41349772373263,26,27,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,kyle_busch,Kyle Busch,Richard Childress Racing,Chevrolet,6,10,15.171570874893163,253,7,13.678836708181365,8,drafting_superspeedway,0,0,0.01612977072416585,0.0868556801979985,16,11,drafting_superspeedway,30,22.888738044911804,13,9,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,kyle_larson,Kyle Larson,Hendrick Motorsports,Chevrolet,17,8,14.46031420135041,253,3,12.653961650578848,5,drafting_superspeedway,0,1,0.08661647357121031,0.19463337444533213,4,5,drafting_superspeedway,44,25.302229506946325,6,1,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,michael_mcdowell,Michael McDowell,Spire Motorsports,Chevrolet,24,16,16.319432780602565,253,13,15.819512072414062,18,drafting_superspeedway,0,0,0.01602658023752769,0.0488982239260892,17,19,drafting_superspeedway,24,19.64854859956825,19,16,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,noah_gragson,Noah Gragson,Front Row Motorsports,Ford,10,22,21.15036536458018,253,34,17.653015380596766,25,drafting_superspeedway,0,0,0.0077393746874339,0.04826040148267677,29,20,drafting_superspeedway,4,18.547493708348014,24,33,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,ricky_stenhouse_jr,Ricky Stenhouse Jr.,Hyak Motorsports,Chevrolet,34,35,28.141623331466207,253,5,16.73796562456887,20,drafting_superspeedway,0,0,0.02926143991063392,0.04472752842675906,9,23,drafting_superspeedway,35,19.06767173425784,22,6,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,riley_herbst,Riley Herbst,23XI Racing,Toyota,27,26,23.606372142458245,253,17,19.26071077085036,32,drafting_superspeedway,0,0,0.00254356030414681,0.03302657884222883,38,27,drafting_superspeedway,20,14.8323160050039,33,22,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,ross_chastain,Ross Chastain,Trackhouse Racing,Chevrolet,33,15,16.24014494456413,253,8,15.693540981850392,17,drafting_superspeedway,0,0,0.01692107427613366,0.05760476390638382,15,17,drafting_superspeedway,29,21.022095954365703,15,10,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,ryan_blaney,Ryan Blaney,Team Penske,Ford,1,4,13.80777514419551,253,4,9.808164823833636,2,drafting_superspeedway,0,0,0.10295649836336038,0.3108598327849365,3,1,drafting_superspeedway,36,32.19573803390258,1,5,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,ryan_preece,Ryan Preece,RFK Racing,Ford,11,21,21.133530424119364,253,18,17.335193516524445,22,drafting_superspeedway,0,0,0.01008076784341154,0.03968081012900053,24,25,drafting_superspeedway,19,19.24436406489548,20,23,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,shane_van_gisbergen,Shane van Gisbergen,Trackhouse Racing,Chevrolet,30,24,22.30453756137699,253,23,19.35494589911562,34,drafting_superspeedway,0,0,0.01273462035772508,0.05299959224682438,21,18,drafting_superspeedway,14,12.468652136012604,35,26,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,todd_gilliland,Todd Gilliland,Front Row Motorsports,Ford,5,12,15.417160701955831,253,15,15.534755601772003,16,drafting_superspeedway,0,0,0.01301907348667085,0.04537786591582497,19,22,drafting_superspeedway,26,20.61883647419644,17,13,drafting_superspeedway
2025,2,Ambetter Health 400,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,ty_dillon,Ty Dillon,Kaulig Racing,Chevrolet,20,28,24.732963328685184,253,29,18.616176309753868,29,drafting_superspeedway,0,0,0.00688014818768306,0.01275162737312607,30,35,drafting_superspeedway,8,10.83779503810587,36,28,drafting_superspeedway
