season,round,race_id,race_date,race_name,track_name,driver_id,driver_id_api,driver_name,car_number_api,manufacturer_api,sponsor,owner_name_api,owner_id_api,qualifying_order_api,qualifying_position_api,qualifying_speed_api,start_position_api,finish_position_api,laps_completed_api,points_api,playoff_points_api,stage_points_api_total,stage1_position_api,stage2_position_api,stage3_position_api,stages_with_points,practice_best_speed,practice_median_speed,practice_total_laps,practice_sessions,qualifying_best_position,qualifying_best_speed,qualifying_best_lap_time,qualifying_attempts,timed_laps,fastest_lap_time,fastest_lap_speed,median_lap_speed,average_running_position,median_running_position,pit_stop_count,median_pit_stop_duration,fastest_pit_stop_duration,pit_position_differential,track_type,restrictor_plate,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,playoff_round,has_qualifying,start_to_finish_delta_api,passing_differential_api,caution_lap_rate
2019,34,4808,2019-11-03,AAA Texas 500,Texas Motor Speedway,kevin_harvick,1416,Kevin Harvick,4,Ford,Busch Beer / Ducks Unlimited,Stewart-Haas Racing,2766,0,0,0,1,1,334,55,0,,,,,,,,,,,,,,,,,,,,,,,,intermediate,FALSE,501,501,334,334,85,85,164,40,26,11,11,56,133.759,3:44:44,1.594,,,0,0,0.16766467065868262
2019,34,4808,2019-11-03,AAA Texas 500,Texas Motor Speedway,aric_almirola,40,Aric Almirola,10,Ford,Smithfield,Stewart-Haas Racing,2686,0,0,0,6,2,334,45,0,,,,,,,,,,,,,,,,,,,,,,,,intermediate,FALSE,501,501,334,334,85,85,164,40,26,11,11,56,133.759,3:44:44,1.594,,,4,4,0.16766467065868262
2019,34,4808,2019-11-03,AAA Texas 500,Texas Motor Speedway,daniel_suarez,4113,Daniel Suarez,41,Ford,Walmart Family Mobile,Stewart-Haas Racing,2767,0,0,0,7,3,334,37,0,,,,,,,,,,,,,,,,,,,,,,,,intermediate,FALSE,501,501,334,334,85,85,164,40,26,11,11,56,133.759,3:44:44,1.594,,,4,4,0.16766467065868262
2019,34,4808,2019-11-03,AAA Texas 500,Texas Motor Speedway,joey_logano,3859,Joey Logano,22,Ford,AAA Insurance,Team Penske,2593,0,0,0,11,4,334,39,0,,,,,,,,,,,,,,,,,,,,,,,,intermediate,FALSE,501,501,334,334,85,85,164,40,26,11,11,56,133.759,3:44:44,1.594,,,7,7,0.16766467065868262
2019,34,4808,2019-11-03,AAA Texas 500,Texas Motor Speedway,alex_bowman,4045,Alex Bowman,88,Chevrolet,Valvoline,Hendrick Motorsports,2273,0,0,0,5,5,334,43,0,,,,,,,,,,,,,,,,,,,,,,,,intermediate,FALSE,501,501,334,334,85,85,164,40,26,11,11,56,133.759,3:44:44,1.594,,,0,0,0.16766467065868262
2019,34,4808,2019-11-03,AAA Texas 500,Texas Motor Speedway,martin_truex_jr,3368,Martin Truex Jr.,19,Toyota,Bass Pro Shops,Joe Gibbs Racing,2810,0,0,0,17,6,334,31,0,,,,,,,,,,,,,,,,,,,,,,,,intermediate,FALSE,501,501,334,334,85,85,164,40,26,11,11,56,133.759,3:44:44,1.594,,,11,11,0.16766467065868262
2019,34,4808,2019-11-03,AAA Texas 500,Texas Motor Speedway,kyle_busch,454,Kyle Busch,18,Toyota,M&M's Hazelnut ,Joe Gibbs Racing,1524,0,0,0,12,7,334,38,0,,,,,,,,,,,,,,,,,,,,,,,,intermediate,FALSE,501,501,334,334,85,85,164,40,26,11,11,56,133.759,3:44:44,1.594,,,5,5,0.16766467065868262
2019,34,4808,2019-11-03,AAA Texas 500,Texas Motor Speedway,ryan_blaney,4023,Ryan Blaney,12,Ford,Wabash National,Team Penske,1460,0,0,0,15,8,334,31,0,,,,,,,,,,,,,,,,,,,,,,,,intermediate,FALSE,501,501,334,334,85,85,164,40,26,11,11,56,133.759,3:44:44,1.594,,,7,7,0.16766467065868262
2019,34,4808,2019-11-03,AAA Texas 500,Texas Motor Speedway,kurt_busch,453,Kurt Busch,1,Chevrolet,Monster Energy,Chip Ganassi Racing,1432,0,0,0,4,9,334,32,0,,,,,,,,,,,,,,,,,,,,,,,,intermediate,FALSE,501,501,334,334,85,85,164,40,26,11,11,56,133.759,3:44:44,1.594,,,-5,-5,0.16766467065868262
2019,34,4808,2019-11-03,AAA Texas 500,Texas Motor Speedway,erik_jones,4059,Erik Jones,20,Toyota,Sport Clips,Joe Gibbs Racing,1550,0,0,0,2,10,334,36,0,,,,,,,,,,,,,,,,,,,,,,,,intermediate,FALSE,501,501,334,334,85,85,164,40,26,11,11,56,133.759,3:44:44,1.594,,,-8,-8,0.16766467065868262
2019,34,4808,2019-11-03,AAA Texas 500,Texas Motor Speedway,clint_bowyer,339,Clint Bowyer,14,Ford,Mobil 1/Rush Truck Centers ,Stewart-Haas Racing,2370,0,0,0,24,11,334,35,0,,,,,,,,,,,,,,,,,,,,,,,,intermediate,FALSE,501,501,334,334,85,85,164,40,26,11,11,56,133.759,3:44:44,1.594,,,13,13,0.16766467065868262
2019,34,4808,2019-11-03,AAA Texas 500,Texas Motor Speedway,kyle_larson,4030,Kyle Larson,42,Chevrolet,McDonald's,Chip Ganassi Racing,1683,0,0,0,13,12,334,40,0,,,,,,,,,,,,,,,,,,,,,,,,intermediate,FALSE,501,501,334,334,85,85,164,40,26,11,11,56,133.759,3:44:44,1.594,,,1,1,0.16766467065868262
