season,round,driver_id,event_id,race_id,race_name,track_id,track_name,track_primary_family,track_cluster_id,driver_name,car_number,owner_id,owner_name,manufacturer_id,manufacturer,field_size,target_qualifying_position,target_qualifying_speed_deficit_pct,predicted_qualifying_position,predicted_qualifying_rank,qualifying_route,target_finish_position,target_win,target_top3,predicted_finish_score,predicted_finish_position,predicted_finish_rank,finish_route,win_probability,top3_probability,win_probability_rank,top3_probability_rank,probability_route,target_points,target_stage_points,predicted_points,predicted_points_rank,actual_points_rank,points_route
2025,1,justin_allgaier,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Justin Allgaier,40,jr_motorsports,JR Motorsports,chevrolet,Chevrolet,41,19,,24.66834997863307,33,drafting_superspeedway,9,0,0,0.17930680477880118,21.487685889192537,41,drafting_superspeedway,0.00535906487532844,0.00631718711841067,30,38,drafting_superspeedway,0,0,11.461435079574583,36,40,drafting_superspeedway
2025,2,william_byron,cup_2025_r02,5547,Ambetter Health 400,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,William Byron,24,hendrick_motorsports,Hendrick Motorsports,chevrolet,Chevrolet,39,16,1.0152142765552947,10.984244808696133,2,drafting_superspeedway,27,0,0,0.39748240639874954,9.2314374376364,1,drafting_superspeedway,0.06253051098366438,0.26227872354851917,4,3,drafting_superspeedway,25,0,28.77020711334134,2,15,drafting_superspeedway
2025,2,ryan_blaney,cup_2025_r02,5547,Ambetter Health 400,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,Ryan Blaney,12,team_penske,Team Penske,ford,Ford,39,1,0,13.101122358821591,5,drafting_superspeedway,4,0,0,0.38120389610566296,9.802762502282402,2,drafting_superspeedway,0.06984826244736403,0.3975583631548582,2,1,drafting_superspeedway,36,0,31.044914631497793,1,5,drafting_superspeedway
2025,2,joey_logano,cup_2025_r02,5547,Ambetter Health 400,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,Joey Logano,22,team_penske,Team Penske,ford,Ford,39,4,0.3032820244075191,11.043293586219097,3,drafting_superspeedway,12,0,0,0.3806123072951974,9.824178428497577,3,drafting_superspeedway,0.24956540621079107,0.2847197255519317,1,2,drafting_superspeedway,34,0,27.649239997458533,3,7,drafting_superspeedway
2025,2,kyle_larson,cup_2025_r02,5547,Ambetter Health 400,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,Kyle Larson,5,hendrick_motorsports,Hendrick Motorsports,chevrolet,Chevrolet,39,17,1.0152142765552947,12.393212941921732,4,drafting_superspeedway,3,0,1,0.34360769117650114,11.261075146508718,4,drafting_superspeedway,0.04029184409187626,0.1135660778509094,8,10,drafting_superspeedway,44,0,24.952288253284216,6,1,drafting_superspeedway
2025,2,chase_elliott,cup_2025_r02,5547,Ambetter Health 400,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,Chase Elliott,9,hendrick_motorsports,Hendrick Motorsports,chevrolet,Chevrolet,39,19,1.0246918398180431,13.560797549027509,7,drafting_superspeedway,20,0,0,0.3422918668674432,11.3158683467668,5,drafting_superspeedway,0.04099926823660654,0.2496675232886977,7,4,drafting_superspeedway,23,0,24.808270968793252,8,18,drafting_superspeedway
2025,2,alex_bowman,cup_2025_r02,5547,Ambetter Health 400,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,Alex Bowman,48,hendrick_motorsports,Hendrick Motorsports,chevrolet,Chevrolet,39,13,0.7927702917416957,14.98043213774262,13,drafting_superspeedway,26,0,0,0.3207665105617401,12.25103549637911,6,drafting_superspeedway,0.02979685489313132,0.12039183380379263,12,8,drafting_superspeedway,17,0,24.837103630446357,7,24,drafting_superspeedway
2025,2,austin_cindric,cup_2025_r02,5547,Ambetter Health 400,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,Austin Cindric,2,team_penske,Team Penske,ford,Ford,39,2,0.00669004465604833,10.56599931418803,1,drafting_superspeedway,28,0,0,0.3125459901676787,12.628232380358254,7,drafting_superspeedway,0.06352977917803648,0.16165237707188704,3,6,drafting_superspeedway,20,0,26.995807475087943,4,21,drafting_superspeedway
2025,2,christopher_bell,cup_2025_r02,5547,Ambetter Health 400,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,Christopher Bell,20,joe_gibbs_racing,Joe Gibbs Racing,toyota,Toyota,39,32,1.641848459338478,14.686523851383653,10,drafting_superspeedway,1,1,1,0.3103422659080703,12.73130913258606,8,drafting_superspeedway,0.015824867260114,0.10645209789585336,18,11,drafting_superspeedway,40,0,25.59461257214393,5,4,drafting_superspeedway
2025,2,denny_hamlin,cup_2025_r02,5547,Ambetter Health 400,atlanta_motor_speedway,Atlanta Motor Speedway,drafting_superspeedway,cluster_1,Denny Hamlin,11,joe_gibbs_racing,Joe Gibbs Racing,toyota,Toyota,39,37,2.495386656705933,15.232807476885794,16,drafting_superspeedway,6,0,0,0.3029127032095274,13.085058501492064,9,drafting_superspeedway,0.00505314577802339,0.03067880170250038,30,25,drafting_superspeedway,31,0,24.108552268995226,11,8,drafting_superspeedway
