projection_variant,lineup_rank,driver_slot,driver_id,driver_name,dk_id,salary,dk_projection,dk_value_per_1000,dk_starting_position_used,dk_projected_finish_rank,projected_laps_led,projected_fastest_laps
base,18,6,shane_van_gisbergen,Shane van Gisbergen,43607008,6800,37.2992404538863,5.485182419689162,18,19,25.228746875213762,17.760119411295246
base,19,1,alex_bowman,Alex Bowman,43607007,7000,36.62898545243154,5.232712207490221,16,13,2.5275808998663862,6.660200505477655
base,19,2,brad_keselowski,Brad Keselowski,43607003,7600,41.0434639766561,5.4004557864021185,21,16,13.403909633819465,12.6499701515583
base,19,3,bubba_wallace,Bubba Wallace,43607001,7900,44.19112470106723,5.59381325329965,14,11,13.578261613881184,12.881242883548744
base,19,4,chase_elliott,Chase Elliott,43606993,9700,57.57703829986028,5.935777144315493,8,5,26.029474758604536,20.15482135602033
base,19,5,ryan_blaney,Ryan Blaney,43606989,10700,74.82146233126262,6.992660030959123,2,1,57.35911671901066,32.181518114466556
base,19,6,shane_van_gisbergen,Shane van Gisbergen,43607008,6800,37.2992404538863,5.485182419689162,18,19,25.228746875213762,17.760119411295246
base,20,1,alex_bowman,Alex Bowman,43607007,7000,36.62898545243154,5.232712207490221,16,13,2.5275808998663862,6.660200505477655
base,20,2,austin_cindric,Austin Cindric,43607005,7200,31.29307907469864,4.346260982597033,12,14,3.6337647674062836,7.521417517437927
base,20,3,brad_keselowski,Brad Keselowski,43607003,7600,41.0434639766561,5.4004557864021185,21,16,13.403909633819465,12.6499701515583
base,20,4,kyle_larson,Kyle Larson,43606990,10500,70.37047469896604,6.701949971330098,4,4,63.02232660670965,32.47754010508582
base,20,5,ryan_blaney,Ryan Blaney,43606989,10700,74.82146233126262,6.992660030959123,2,1,57.35911671901066,32.181518114466556
base,20,6,shane_van_gisbergen,Shane van Gisbergen,43607008,6800,37.2992404538863,5.485182419689162,18,19,25.228746875213762,17.760119411295246
chatter,1,1,alex_bowman,Alex Bowman,43607007,7000,38.62898545243154,5.518426493204506,16,12,2.5275808998663862,6.660200505477655
chatter,1,2,austin_dillon,Austin Dillon,43607012,6300,26.10708246077576,4.14398134298028,23,22,5.474873885422633,8.307475532044666
chatter,1,3,kyle_larson,Kyle Larson,43606990,10500,70.37047469896604,6.701949971330098,4,4,63.02232660670965,32.47754010508582
chatter,1,4,ryan_blaney,Ryan Blaney,43606989,10700,74.82146233126262,6.992660030959123,2,1,57.35911671901066,32.181518114466556
chatter,1,5,shane_van_gisbergen,Shane van Gisbergen,43607008,6800,41.299240453886306,6.073417713806809,18,17,25.228746875213762,17.760119411295246
chatter,1,6,ty_gibbs,Ty Gibbs,43606998,8500,48.06119274605028,5.654257970123563,3,8,24.79386985172255,24.139389518043654
chatter,2,1,alex_bowman,Alex Bowman,43607007,7000,38.62898545243154,5.518426493204506,16,12,2.5275808998663862,6.660200505477655
chatter,2,2,denny_hamlin,Denny Hamlin,43606988,11000,73.38063908438164,6.67096718948924,1,3,64.37601770270513,40.636965908234146
chatter,2,3,riley_herbst,Riley Herbst,43607015,5800,22.984914366549912,3.962916270094812,26,24,0.8005162409291167,6.188411791816967
chatter,2,4,ryan_blaney,Ryan Blaney,43606989,10700,74.82146233126262,6.992660030959123,2,1,57.35911671901066,32.181518114466556
